"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3187298,132,"No free internet"
3187298,133,"No air-conditioning/heating inadequate"
3187351,154,"Generally poor standard"
3187298,130,"Poor customer service"
3187298,131,"Poor standard of cleanliness/dirty"
3187278,154,"Poor/old facilities"
3187278,156,"Poor standard of cleanliness/dirty"
3187351,153,"Poor customer service"
3188594,133,"Poor/old facilities"
3187298,134,"Noisy"
3188594,136,"No free internet"
3187448,161,"No free internet"
3187448,163,"Noisy"
3187532,133,"No free internet"
3188594,139,"Another reason"
3188594,137,"Generally poor standard"
3188594,138,"Poor value for money"
3187448,162,"Generally poor standard"
3187532,134,"Generally poor standard"
3187532,135,"No air-conditioning/heating inadequate"
3188594,135,"Too expensive"
3187448,158,"Poor/old facilities"
3187448,159,"Poor customer service"
3187448,160,"Poor standard of cleanliness/dirty"
3187532,132,"Poor customer service"
3187682,154,"Poor/old facilities"
3187532,136,"Noisy"
3187682,158,"No free internet"
3187682,159,"Noisy"
3187683,162,"No free internet"
3187682,160,"Another reason"
3187682,155,"Too expensive"
3187682,156,"Poor customer service"
3187682,157,"Poor standard of cleanliness/dirty"
3187683,161,"Poor/old facilities"
3187683,163,"Generally poor standard"
3187278,157,"No free internet"
3187278,159,"No air-conditioning/heating inadequate"
3187337,149,"The Qualmark rating was too high"
3187278,158,"Generally poor standard"
3187278,160,"Poor value for money"
3187278,161,"Noisy"
3187337,153,"No air-conditioning/heating inadequate"
3187683,164,"No air-conditioning/heating inadequate"
3187337,148,"Poor/old facilities"
3187337,150,"Poor customer service"
3187337,151,"Poor standard of cleanliness/dirty"
3187453,137,"Too expensive"
3187453,138,"Poor customer service"
