"SurveyResponseID","AnswerNumber","iSiteUsage"
3461499,101,"Suggested itineraries"
3461501,87,"Directions"
3461502,93,"Access to resources to assist you to plan"
3461502,95,"Information about Maori culture / cultural activities"
3461502,96,"General information about a different region"
3461499,96,"Maps"
3461502,94,"Maps"
3461518,95,"Weather information"
3461518,98,"Information about amenities/services for the town you were in"
3461550,105,"Accommodation in a different region"
3461619,92,"Information about amenities/services for the town you were in"
3461518,99,"Attractions / Activities"
3461535,96,"General information about the region you were in"
3461535,98,"Compare prices / find deals"
3461535,99,"Attractions / Activities"
3461550,106,"Attractions / Activities"
3461518,96,"Directions"
3461518,97,"General information about a different region"
3461535,97,"Weather information"
3461619,89,"Maps"
3461619,90,"Internet access"
3461619,87,"General information about the region you were in"
3461619,93,"Attractions / Activities"
3461634,85,"General information about the region you were in"
3461634,89,"Compare prices / find deals"
3461634,90,"Attractions / Activities"
3461518,100,"Suggested itineraries"
3461550,104,"General information about a different region"
3461550,107,"Suggested itineraries"
3461619,88,"Access to resources to assist you to plan"
3461634,87,"Maps"
3461634,88,"Internet access"
3461635,102,"General information about the region you were in"
3461635,105,"Attractions / Activities"
3461619,91,"Directions"
3461634,86,"Access to resources to assist you to plan"
3461634,91,"Suggested itineraries"
3461635,104,"Directions"
3461653,73,"Access to resources to assist you to plan"
3461653,75,"Information about Maori culture / cultural activities"
3461635,103,"Maps"
3461653,74,"Maps"
3461653,77,"Information about amenities/services for the town you were in"
3461653,78,"Accommodation in the region you were in"
3461653,79,"Accommodation in a different region"
3461684,99,"Accommodation in the region you were in"
3461653,80,"Attractions / Activities"
3461684,97,"General information about the region you were in"
3461684,100,"Transport/ travel options around New Zealand"
3461686,88,"Information about amenities/services for the town you were in"
3461700,74,"Information about amenities/services for the town you were in"
3461684,98,"Maps"
3186221,84,"Maps"
3461686,86,"Maps"
3461700,73,"Internet access"
3461684,101,"Attractions / Activities"
3461686,89,"Attractions / Activities"
3461700,72,"General information about the region you were in"
3461716,80,"General information about the region you were in"
3461716,81,"Check/confirm existing travel plans"
3186190,84,"Suggested itineraries"
3461653,76,"General information about a different region"
3186221,85,"Suggested itineraries"
3461718,80,"Attractions / Activities"
3461735,89,"General information about the region you were in"
3461718,79,"Event information"
3186304,76,"Information about amenities/services for the town you were in"
3461686,87,"Directions"
3186255,78,"Directions"
3186255,79,"Suggested itineraries"
3461716,83,"Directions"
3186304,75,"Directions"
3461735,90,"Access to resources to assist you to plan"
3461716,82,"Maps"
3461735,91,"Maps"
3461750,82,"Maps"
3186322,112,"Maps"
3186322,113,"Internet access"
3186454,69,"Internet access"
3461818,95,"Weather information"
3461818,93,"General information about the region you were in"
3461818,94,"Check/confirm existing travel plans"
3186322,111,"Access to resources to assist you to plan"
3186322,114,"Information about Maori culture / cultural activities"
3186322,115,"General information about a different region"
3461818,96,"Maps"
3461818,97,"Internet access"
3186322,116,"Information about amenities/services for the town you were in"
3186322,117,"Accommodation in the region you were in"
3461750,83,"Event information"
3461818,99,"Transport/ travel options around New Zealand"
3461818,100,"Flights within New Zealand"
3461819,78,"Accommodation in the region you were in"
3461818,98,"Overview of NZ regions"
3461818,101,"Attractions / Activities"
3461819,75,"Maps"
3461819,76,"Internet access"
3461819,74,"General information about the region you were in"
3186466,113,"General information about the region you were in"
3461833,86,"General information about the region you were in"
3461818,102,"Suggested itineraries"
3461819,77,"Directions"
3186466,114,"Access to resources to assist you to plan"
3186466,116,"Information about Maori culture / cultural activities"
3186466,117,"Directions"
3186466,118,"General information about a different region"
3461833,90,"Transport/ travel options around New Zealand"
3186466,115,"Maps"
3461833,88,"Maps"
3461833,89,"Internet access"
3461834,82,"Weather information"
3461834,87,"Accommodation in the region you were in"
3186466,119,"Accommodation in the region you were in"
3186466,120,"Accommodation in a different region"
3186466,121,"Event information"
3461836,79,"Information about amenities/services for the town you were in"
3461834,83,"Maps"
3186486,78,"Maps"
3461833,91,"Attractions / Activities"
3461834,84,"Compare prices / find deals"
3461834,86,"Overview of NZ regions"
3461834,88,"Attractions / Activities"
3186466,122,"Attractions / Activities"
3461836,77,"General information about the region you were in"
3461833,87,"Access to resources to assist you to plan"
3461834,85,"Directions"
3461836,78,"Access to resources to assist you to plan"
3186486,77,"Access to resources to assist you to plan"
3461853,87,"Information about amenities/services for the town you were in"
3461867,78,"Information about amenities/services for the town you were in"
3186520,87,"Event information"
3186486,79,"Attractions / Activities"
3461853,88,"Attractions / Activities"
3461867,76,"General information about the region you were in"
3461867,79,"Attractions / Activities"
3186520,82,"Check/confirm existing travel plans"
3186520,85,"Compare prices / find deals"
3186486,80,"Suggested itineraries"
3461853,86,"Directions"
3461853,89,"Suggested itineraries"
3461867,77,"General information about a different region"
3186520,83,"Access to resources to assist you to plan"
3461901,85,"Transport/ travel options around New Zealand"
3461902,79,"Accommodation in a different region"
3461902,80,"Transport/ travel options around New Zealand"
3462285,85,"Information about amenities/services for the town you were in"
3186527,99,"General information about the region you were in"
3461902,81,"Attractions / Activities"
3462285,86,"Attractions / Activities"
3186520,86,"Directions"
3186520,88,"Suggested itineraries"
3186520,84,"Maps"
3461901,84,"Maps"
3461902,78,"Maps"
3462285,83,"Maps"
3462303,84,"Transport/ travel options around New Zealand"
3462288,69,"General information about the region you were in"
3462288,70,"Overview of NZ regions"
3462288,71,"Attractions / Activities"
3462303,80,"General information about the region you were in"
3462303,83,"Overview of NZ regions"
3462303,85,"Attractions / Activities"
3462285,84,"Directions"
3462303,82,"Directions"
3462303,86,"Suggested itineraries"
3462305,82,"Information about amenities/services for the town you were in"
3462305,83,"Transport/ travel options around New Zealand"
3462336,100,"Accommodation in the region you were in"
3462368,133,"Event information"
3462371,83,"Accommodation in the region you were in"
3462371,84,"Event information"
3462336,97,"Directions"
3462336,99,"General information about a different region"
3462371,86,"Suggested itineraries"
3462303,81,"Maps"
3462305,81,"Maps"
3462336,94,"Weather information"
3462336,95,"Maps"
3462336,96,"Internet access"
3462352,89,"Maps"
3462368,132,"Maps"
3462305,80,"General information about the region you were in"
3462336,93,"General information about the region you were in"
3462336,98,"Overview of NZ regions"
3462352,88,"General information about the region you were in"
3462371,82,"General information about the region you were in"
3462371,85,"Attractions / Activities"
3462385,94,"Accommodation in a different region"
3462385,95,"Transport/ travel options around New Zealand"
