"SurveyResponseID","AnswerNumber","iSiteUsage"
3187749,74,"General information about a different region"
3184667,80,"Event information"
3187632,87,"Event information"
3187633,92,"Event information"
3187684,87,"Something else"
3187749,75,"Information about amenities/services for the town you were in"
3187652,89,"Attractions / Activities"
3187666,84,"General information about the region you were in"
3187683,95,"Attractions / Activities"
3187684,86,"Attractions / Activities"
3187701,85,"Attractions / Activities"
3187749,71,"General information about the region you were in"
3187749,76,"Attractions / Activities"
3187752,80,"Information about amenities/services for the town you were in"
3187834,84,"Transport/ travel options around New Zealand"
3187834,85,"Event information"
3187750,94,"General information about the region you were in"
3187750,96,"Attractions / Activities"
3187752,81,"Attractions / Activities"
3187834,83,"General information about the region you were in"
3187834,86,"Attractions / Activities"
3187749,72,"Maps"
3187750,95,"Maps"
3187752,79,"Maps"
3187836,93,"Maps"
3184873,77,"General information about a different region"
3187836,96,"Information about amenities/services for the town you were in"
3187836,97,"Accommodation in the region you were in"
3187836,98,"Transport/ travel options around New Zealand"
3187836,99,"Flights within New Zealand"
3187836,100,"Event information"
3187852,109,"Information about amenities/services for the town you were in"
3187836,92,"Check/confirm existing travel plans"
3187850,83,"Maps"
3187852,106,"Maps"
3187836,94,"Directions"
3187836,102,"Suggested itineraries"
3187852,108,"Directions"
3187884,90,"Directions"
3187884,93,"Transport/ travel options around New Zealand"
3187836,95,"Overview of NZ regions"
3187836,101,"Attractions / Activities"
3187850,82,"General information about the region you were in"
3187852,107,"Compare prices / find deals"
3187852,110,"Attractions / Activities"
3187884,92,"General information about a different region"
3187903,76,"Information about amenities/services for the town you were in"
3187903,77,"Accommodation in the region you were in"
3187903,78,"Accommodation in a different region"
3187903,79,"Transport/ travel options around New Zealand"
3187903,80,"Event information"
3187884,91,"Overview of NZ regions"
3187903,67,"General information about the region you were in"
3187884,89,"Maps"
3187903,69,"Maps"
3187903,70,"Internet access"
3187903,68,"Access to resources to assist you to plan"
3187903,71,"Information about Maori culture / cultural activities"
3187903,73,"Directions"
3187903,75,"General information about a different region"
3187984,98,"Access to resources to assist you to plan"
3184668,82,"Information about amenities/services for the town you were in"
3184668,83,"Event information"
3187903,72,"Compare prices / find deals"
3187984,100,"Directions"
3184668,81,"Directions"
3187903,74,"Overview of NZ regions"
3187903,81,"Attractions / Activities"
3187984,97,"General information about the region you were in"
3187984,101,"Overview of NZ regions"
3184668,84,"Attractions / Activities"
3188000,104,"General information about the region you were in"
3188000,108,"Accommodation in a different region"
3188000,109,"Transport/ travel options around New Zealand"
3188000,110,"Event information"
3188017,119,"Event information"
3187984,99,"Maps"
3188000,106,"Maps"
3188017,117,"Maps"
3184683,92,"Maps"
3188000,107,"Directions"
3188000,111,"Suggested itineraries"
3188001,90,"Directions"
3188001,91,"General information about a different region"
3188017,118,"Information about Maori culture / cultural activities"
3184683,93,"General information about a different region"
3188000,105,"Check/confirm existing travel plans"
3188017,116,"General information about the region you were in"
3188017,120,"Attractions / Activities"
3188118,108,"General information about the region you were in"
3188118,110,"Information about amenities/services for the town you were in"
3188135,98,"Weather information"
3184873,78,"See ratings by other travellers"
3188118,111,"Attractions / Activities"
3188135,97,"General information about the region you were in"
3188135,100,"Overview of NZ regions"
3188135,102,"Attractions / Activities"
3188170,109,"General information about the region you were in"
3188170,113,"Attractions / Activities"
3188118,109,"Directions"
3188118,112,"Suggested itineraries"
3188135,99,"Maps"
3188170,110,"Maps"
3188202,94,"Accommodation in the region you were in"
3184873,79,"Attractions / Activities"
3188202,95,"Attractions / Activities"
3184647,83,"Attractions / Activities"
3188236,85,"Compare prices / find deals"
3188237,87,"General information about the region you were in"
3188135,101,"General information about a different region"
3188170,111,"Information about Maori culture / cultural activities"
3188170,112,"Directions"
3188170,114,"Suggested itineraries"
3188236,84,"Maps"
3188237,88,"Maps"
3188237,89,"Internet access"
3188237,91,"Information about amenities/services for the town you were in"
